Season (year),Award,Team,Player (Awardee),
2023,Dawn Staley Leadership,Indiana Fever,Kelsey Mitchell,
2023,Commissioner's Cup MVP,New York Liberty,Jonquel Jones,
2023,Peak Performer (Assisting),New York Liberty,Courtney Vandersloot,
2023,Peak Performer (Rebounding),Connecticut Sun,Alyssa Thomas,
2023,Peak Performer (Scoring),Seattle Storm,Jewell Loyd,
2023,AP All Rookie Team,Indiana Fever,Aliyah Boston,
2023,AP All Rookie Team,Indiana Fever,Grace Berger,
2023,AP All Rookie Team,Minnesota Lynx,Dorka Juhász,
2023,AP All Rookie Team,Minnesota Lynx,Diamond Miller,
2023,AP All Rookie Team,Seattle Storm,Jordan Horston,
2023,AP All Rookie Team,Atlanta Dream,Haley Jones,
2023,AP All WNBA First Team,New York Liberty,Breanna Stewart,
2023,AP All WNBA First Team,Las Vegas Aces,A'ja Wilson,
2023,AP All WNBA First Team,Connecticut Sun,Alyssa Thomas,
2023,AP All WNBA First Team,Seattle Storm,Jewell Loyd,
2023,AP All WNBA First Team,Las Vegas Aces,Chelsea Gray,
2023,AP All WNBA Second Team,Las Vegas Aces,Jackie Young,
2023,AP All WNBA Second Team,New York Liberty,Sabrina Ionescu,
2023,AP All WNBA Second Team,Dallas Wings,Arike Ogunbowale,
2023,AP All WNBA Second Team,Dallas Wings,Satou Sabally,
2023,AP All WNBA Second Team,Minnesota Lynx,Napheesa Collier,
2023,AP Coach of the Year,Connecticut Sun,Stephanie White,
2023,AP Comeback Player of the Year,Phoenix Mercury,Brittney Griner,
2023,AP Comeback Player of the Year,Minnesota Lynx,Napheesa Collier,
2023,AP Defensive Player of the Year,Las Vegas Aces,A'ja Wilson,
2023,AP Most Improved Player,Dallas Wings,Satou Sabally,
2023,AP Player of the Year,New York Liberty,Breanna Stewart,
2023,AP Rookie of the Year,Indiana Fever,Aliyah Boston,
2023,AP Sixth Player of the Year,Las Vegas Aces,Alysha Clark,
2023,Sixth Woman of the Year,Las Vegas Aces,Alysha Clark,
2023,Most Improved Player,Dallas Wings,Satou Sabally,
2023,All-Defensive First Team,Las Vegas Aces,A'ja Wilson,
2023,All-Defensive First Team,Connecticut Sun,Alyssa Thomas,
2023,All-Defensive First Team,Washington Mystics,Brittney Sykes,
2023,All-Defensive First Team,New York Liberty,Breanna Stewart,
2023,All-Defensive First Team,Los Angeles Sparks,Jordin Canada,
2023,All-Defensive Second Team,New York Liberty,Betnijah Laney-Hamilton,
2023,All-Defensive Second Team,Seattle Storm,Ezi Magbegor,
2023,All-Defensive Second Team,Los Angeles Sparks,Nneka Ogwumike,
2023,All-Defensive Second Team,Minnesota Lynx,Napheesa Collier,
2023,All-Defensive Second Team,Chicago Sky,Elizabeth Williams,
2023,Defensive Player of the Year,Las Vegas Aces,A'ja Wilson,
2023,MVP,New York Liberty,Breanna Stewart,
2023,All-Rookie Team,Indiana Fever,Aliyah Boston,
2023,All-Rookie Team,Minnesota Lynx,Diamond Miller,
2023,All-Rookie Team,Minnesota Lynx,Dorka Juhász,
2023,All-Rookie Team,Seattle Storm,Jordan Horston,
2023,All-Rookie Team,Washington Mystics,Li Meng,
2023,Rookie of the Year,Indiana Fever,Aliyah Boston,
2023,All-WNBA First Team,New York Liberty,Breanna Stewart,
2023,All-WNBA First Team,Connecticut Sun,Alyssa Thomas,
2023,All-WNBA First Team,Las Vegas Aces,A'ja Wilson,
2023,All-WNBA First Team,Minnesota Lynx,Napheesa Collier,
2023,All-WNBA First Team,Dallas Wings,Satou Sabally,
2023,All-WNBA Second Team,Los Angeles Sparks,Nneka Ogwumike,
2023,All-WNBA Second Team,Las Vegas Aces,Jackie Young,
2023,All-WNBA Second Team,Las Vegas Aces,Chelsea Gray,
2023,All-WNBA Second Team,Seattle Storm,Jewell Loyd,
2023,All-WNBA Second Team,New York Liberty,Sabrina Ionescu,
2023,Sportsmanship Award,Chicago Sky,Elizabeth Williams,
2023,Community Assist Award (Seasonlong),Phoenix Mercury,Brittney Griner,
2023,Finals MVP,Las Vegas Aces,A'ja Wilson,
2023,AP Player of the Week,Las Vegas Aces,A'ja Wilson,
2023,Player of the Week,Chicago Sky,Courtney Williams,
2023,Player of the Week,Las Vegas Aces,A'ja Wilson,Eastern Conference
2023,Player of the Week,New York Liberty,Breanna Stewart,Western Conference
2023,Player of the Week,Minnesota Lynx,Napheesa Collier,Eastern Conference
2023,AP Player of the Week,Minnesota Lynx,Napheesa Collier,Western Conference
