Year,Round,Pick,Team,Player,Prior Team,College
2023,1,1,Indiana Fever,Aliyah Boston,South Carolina,South Carolina
2023,1,2,Minnesota Lynx,Diamond Miller,Maryland,Maryland
2023,1,3,Dallas Wingsfrom Atlanta,Maddy Siegrist,Villanova,Villanova
2023,1,4,Washington Mysticsfrom Los Angeles via Atlanta,Stephanie Soares,Iowa State,Iowa State
2023,1,5,Dallas Wingsfrom Phoenix via Chicago,Lou Lopez Sénéchal,Connecticut,Connecticut
2023,1,6,Atlanta Dreamfrom New York via Connecticut,Haley Jones,Stanford,Stanford
2023,1,7,Indiana Feverfrom Dallas,Grace Berger,Indiana,Indiana
2023,1,8,Atlanta Dreamfrom Washington,Laeticia Amihere,South Carolina,South Carolina
2023,1,9,Seattle Storm,Jordan Horston,Tennessee,Tennessee
2023,1,10,Los Angeles Sparksfrom Connecticut,Zia Cooke,South Carolina,South Carolina
2023,1,11,Dallas Wingsfrom Chicago via Indiana,Abby Meyers,Maryland,Maryland
2023,1,12,Minnesota Lynxfrom Las Vegas,Maïa Hirsch,Villenueve-d'Ascq (France),N/A
2023,2,13,Indiana Fever,Taylor Mikesell,Ohio State,Ohio State
2023,2,14,Los Angeles Sparks,Shaneice Swain,Canberra Capitals,N/A
2023,2,15,Atlanta Dream,Leigha Brown,Michigan,Michigan
2023,2,16,Minnesota Lynx,Dorka Juhász,Connecticut,Connecticut
2023,2,17,Indiana Feverfrom Phoenix,LaDazhia Williams,LSU,LSU
2023,2,18,Seattle Stormfrom New York,Madi Williams,Oklahoma,Oklahoma
2023,2,19,Dallas Wings,Ashley Joens,Iowa State,Iowa State
2023,2,20,Washington Mystics,Elena Tsineke,South Florida,South Florida
2023,2,21,Seattle Storm,Dulcy Fankam Mendjiadeu,South Florida,South Florida
2023,2,22,Connecticut Sun,Alexis Morris,LSU,LSU
2023,2,23,Chicago Sky,Kayana Traylor,Virginia Tech,Virginia Tech
2023,2,24,Minnesota Lynxfrom Las Vegas,Brea Beal,South Carolina,South Carolina
2023,3,25,Indiana Fever,Victaria Saxton,South Carolina,South Carolina
2023,3,26,Los Angeles Sparks,Monika Czinano,Iowa,Iowa
2023,3,27,Phoenix Mercuryfrom Atlanta,Destiny Harden,Miami,Miami
2023,3,28,Minnesota Lynx,Taylor Soule,Virginia Tech,Virginia Tech
2023,3,29,Phoenix Mercury,Kadi Sissoko,USC,USC
2023,3,30,New York Liberty,Okako Adika,USC,USC
2023,3,31,Dallas Wings,Paige Robinson,Illinois State,Illinois State
2023,3,32,Washington Mystics,Txell Alarcón,Kutxabank Araski,N/A
2023,3,33,Seattle Storm,Jade Loville,Arizona,Arizona
2023,3,34,Connecticut Sun,Ashten Prechtel,Stanford,Stanford
2023,3,35,Chicago Sky,Kseniya Malashka,Middle Tennessee,Middle Tennessee
2023,3,36,Las Vegas Aces,Brittany Davis,Alabama,
2022,1,1,Atlanta Dreamfrom Washington,Rhyne Howard,Kentucky,Kentucky
2022,1,2,Indiana Fever,NaLyssa Smith,Baylor,Baylor
2022,1,3,Washington Mysticsfrom Atlanta,Shakira Austin,Mississippi,Mississippi
2022,1,4,Indiana Feverfrom Los Angeles via Dallas,Emily Engstler,Louisville,Louisville
2022,1,5,New York Liberty,Nyara Sabally,Oregon,Oregon
2022,1,6,Indiana Feverfrom Dallas,Lexie Hull,Stanford,Stanford
2022,1,7,Dallas Wingsfrom Chicago via Indiana,Veronica Burton,Northwestern,Northwestern
2022,1,8,Las Vegas Acesfrom Phoenix via 4 trades,Mya Hollingshed,Colorado,Colorado
2022,1,9,Los Angeles Sparksfrom Seattle,Rae Burrell,Tennessee,Tennessee
2022,1,10,Indiana Feverfrom Minnesota,Queen Egbo,Baylor,Baylor
2022,1,11,Las Vegas Aces,Kierstan Bell,Florida Gulf Coast,Florida Gulf Coast
2022,1,12,Connecticut Sun,Nia Clouden,Michigan State,Michigan State
2022,2,13,Las Vegas Acesfrom Indiana via Minnesota,Khayla Pointer,LSU,LSU
2022,2,14,Washington Mysticsfrom Atlanta,Christyn Williams,Connecticut,Connecticut
2022,2,15,Atlanta Dreamfrom Los Angeles,Naz Hillmon,Michigan,Michigan
2022,2,16,Los Angeles Sparksfrom Washington,Kianna Smith,Louisville,Louisville
2022,2,17,Seattle Stormfrom New York,Elissa Cunane,NC State,NC State
2022,2,18,Seattle Stormfrom Dallas,Lorela Cubaj,Georgia Tech,Georgia Tech
2022,2,19,Los Angeles Sparksfrom Chicago via Dallas,Olivia Nelson-Ododa,Connecticut,Connecticut
2022,2,20,Indiana Feverfrom Phoenix,Destanni Henderson,South Carolina,South Carolina
2022,2,21,Seattle Storm,Evina Westbrook,Connecticut,Connecticut
2022,2,22,Minnesota Lynx,Kayla Jones,NC State,NC State
2022,2,23,Las Vegas Aces,Aisha Sheppard,Virginia Tech,Virginia Tech
2022,2,24,Connecticut Sun,Jordan Lewis,Baylor,Baylor
2022,3,25,Indiana Fever,Ameshya Williams-Holliday,Jackson State,Jackson State
2022,3,26,Phoenix Mercuryfrom Atlanta,Maya Dodson,Notre Dame,Notre Dame
2022,3,27,Los Angeles Sparks,Amy Atwell,Hawaii,Hawaii
