Season (Year),Team,Season or Playoff,Rank,Player,Age,Games,Games Started,Minutes Played,Field Goal,Field Goal Attempts,Field Goal %,3 Point Field Goals,3 Point Field Goals Attempts,3 Point Field Goals %,2 Point Field Goals,2 Point Field Goals Attempts,2 Point Field Goals %,Free Throws,Free Throw Attempts,Free Throw Attempts %,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
2023,Indiana Fever,Regular Season,1,Kelsey Mitchell,27,40,40,1349,245,555,0.441,102,256,0.398,143,299,0.478,136,165,0.824,13,52,65,125,37,2,92,81,728
2023,Indiana Fever,Regular Season,2,Aliyah Boston,21,40,40,1249,233,403,0.578,4,10,0.4,229,393,0.583,108,145,0.745,125,210,335,89,53,50,75,125,578
2023,Indiana Fever,Regular Season,3,Erica Wheeler,32,40,40,1071,146,367,0.398,30,97,0.309,116,270,0.43,72,82,0.878,16,104,120,201,44,3,83,96,394
2023,Indiana Fever,Regular Season,4,NaLyssa Smith,22,31,28,885,188,394,0.477,19,67,0.284,169,327,0.517,84,124,0.677,64,222,286,44,10,10,84,93,479
2023,Indiana Fever,Regular Season,5,Kristy Wallace,27,37,9,728,93,232,0.401,37,85,0.435,56,147,0.381,21,28,0.75,22,60,82,71,23,9,49,64,244
2023,Indiana Fever,Regular Season,6,Victoria Vivians,28,38,14,674,73,192,0.38,27,94,0.287,46,98,0.469,23,30,0.767,19,100,119,49,27,6,31,72,196
2023,Indiana Fever,Regular Season,7,Lexie Hull,23,30,25,619,54,145,0.372,13,60,0.217,41,85,0.482,17,22,0.773,35,47,82,32,30,9,30,84,138
2023,Indiana Fever,Regular Season,8,Grace Berger,24,36,0,524,57,127,0.449,16,34,0.471,41,93,0.441,21,25,0.84,7,49,56,67,17,6,37,38,151
2023,Indiana Fever,Regular Season,9,Emma Cannon,34,30,3,314,61,134,0.455,13,34,0.382,48,100,0.48,40,44,0.909,24,70,94,14,4,2,33,42,175
2023,Indiana Fever,Regular Season,10,Maya Caldwell,24,30,1,304,21,72,0.292,4,29,0.138,17,43,0.395,12,14,0.857,9,18,27,19,9,3,22,27,58
2023,Indiana Fever,Regular Season,11,Amanda Zahui B.,29,22,0,160,12,46,0.261,3,23,0.13,9,23,0.391,6,8,0.75,5,16,21,7,3,11,10,25,33
2023,Indiana Fever,Regular Season,12,Queen Egbo,23,16,0,143,18,45,0.4,0,0,,18,45,0.4,11,17,0.647,16,48,64,2,2,8,11,31,47
2023,Indiana Fever,Regular Season,13,Victaria Saxton,23,15,0,54,6,18,0.333,1,2,0.5,5,16,0.313,6,7,0.857,2,8,10,0,1,0,6,9,19
