Season (Year),Rank,Team,Wins,Losses,Win %,GB,Home,Away,Streak
2023,1,Las Vegas Aces,34,6,0.85,-,19-1 (0.950),15-5 (0.750),W 4
2023,2,New York Liberty,32,8,0.8,2,15-5 (0.750),17-3 (0.850),L 1
2023,3,Connecticut Sun,27,13,0.675,7,13-7 (0.650),14-6 (0.700),L 1
2023,4,Dallas Wings,22,18,0.55,12,11-9 (0.550),11-9 (0.550),W 2
2023,5,Atlanta Dream,19,21,0.475,15,11-9 (0.550),8-12 (0.400),L 1
2023,6,Minnesota Lynx,19,21,0.475,15,9-11 (0.450),10-10 (0.500),L 2
2023,7,Washington Mystics,19,21,0.475,15,12-8 (0.600),7-13 (0.350),W 1
2023,8,Chicago Sky,18,22,0.45,16,7-13 (0.350),11-9 (0.550),W 3
2023,9,Los Angeles Sparks,17,23,0.425,17,10-10 (0.500),7-13 (0.350),W 1
2023,10,Indiana Fever,13,27,0.325,21,6-14 (0.300),7-13 (0.350),W 1
2023,11,Seattle Storm,11,29,0.275,23,4-16 (0.200),7-13 (0.350),L 4
2023,12,Phoenix Mercury,9,31,0.225,25,8-12 (0.400),1-19 (0.050),L 11
2022,1,Chicago Sky,26,10,0.722,-,14-4 (0.778),12-6 (0.667),W 1
2022,2,Las Vegas Aces,26,10,0.722,-,13-5 (0.722),13-5 (0.722),W 4
2022,3,Connecticut Sun,25,11,0.694,1,13-5 (0.722),12-6 (0.667),W 3
2022,4,Seattle Storm,22,14,0.611,4,13-5 (0.722),9-9 (0.500),L 1
2022,5,Washington Mystics,22,14,0.611,4,12-6 (0.667),10-8 (0.556),W 2
2022,6,Dallas Wings,18,18,0.5,8,8-10 (0.444),10-8 (0.556),W 1
2022,7,New York Liberty,16,20,0.444,10,9-9 (0.500),7-11 (0.389),W 3
2022,8,Phoenix Mercury,15,21,0.417,11,11-7 (0.611),4-14 (0.222),L 1
2022,9,Atlanta Dream,14,22,0.389,12,8-10 (0.444),6-12 (0.333),L 4
2022,10,Minnesota Lynx,14,22,0.389,12,7-11 (0.389),7-11 (0.389),L 2
2022,11,Los Angeles Sparks,13,23,0.361,13,7-11 (0.389),6-12 (0.333),L 3
2022,12,Indiana Fever,5,31,0.139,21,3-15 (0.167),2-16 (0.111),L 18
2021,1,Connecticut Sun,26,6,0.813,-,15-1 (0.938),11-5 (0.688),W 14
2021,2,Las Vegas Aces,24,8,0.75,2,13-3 (0.813),11-5 (0.688),W 4
2021,3,Minnesota Lynx,22,10,0.688,4,13-3 (0.813),9-7 (0.563),W 4
2021,4,Seattle Storm,21,11,0.656,5,11-5 (0.688),10-6 (0.625),W 1
2021,5,Phoenix Mercury,19,13,0.594,7,7-9 (0.438),12-4 (0.750),L 3
2021,6,Chicago Sky,16,16,0.5,10,6-10 (0.375),10-6 (0.625),W 1
2021,7,Dallas Wings,14,18,0.438,12,7-9 (0.438),7-9 (0.438),W 1
2021,8,Los Angeles Sparks,12,20,0.375,14,8-8 (0.500),4-12 (0.250),L 1
2021,9,New York Liberty,12,20,0.375,14,7-9 (0.438),5-11 (0.313),W 1
2021,10,Washington Mystics,12,20,0.375,14,8-8 (0.500),4-12 (0.250),L 2
2021,11,Atlanta Dream,8,24,0.25,18,4-12 (0.250),4-12 (0.250),L 2
2021,12,Indiana Fever,6,26,0.188,20,4-12 (0.250),2-14 (0.125),L 7
2020,1,Seattle Storm,18,4,0.818,0,9,9,W 4
2020,2,Las Vegas Aces,18,4,0.818,0,9,9,W 1
2020,3,Los Angeles Sparks,15,7,0.682,3,7,8,L 1
2020,4,Minnesota Lynx,14,8,0.636,4,8,6,W 1
2020,5,Chicago Sky,12,10,0.545,6,6,6,L 1
2020,6,Phoenix Mercury,13,9,0.591,5,6,7,W 1
2020,7,Indiana Fever,6,16,0.273,12,3,3,L 8
2020,8,Connecticut Sun,7,15,0.318,11,3,4,W 1
2020,9,Dallas Wings,8,14,0.364,10,5,3,W 1
2020,10,Washington Mystics,7,13,0.35,10.5,3,4,W 1
2020,11,Atlanta Dream,7,15,0.318,11.5,3,4,L 4
2020,12,New York Liberty,2,20,0.091,16,1,1,L 12
