Year,Team_x,Season or Playoff,Rank,Player,Age,Games,Games Started,Minutes Played,Field Goal,Field Goal Attempts,Field Goal %,3 Point Field Goals,3 Point Field Goals Attempts,3 Point Field Goals %,2 Point Field Goals,2 Point Field Goals Attempts,2 Point Field Goals %,Free Throws,Free Throw Attempts,Free Throw Attempts %,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Round,Pick,Team_y,Prior Team,College
2023,Indiana Fever,Regular Season,1,Kelsey Mitchell,27,40,40,1349.0,245.0,555.0,0.441,102.0,256.0,0.398,143.0,299.0,0.478,136.0,165.0,0.824,13.0,52.0,65.0,125.0,37.0,2.0,92.0,81.0,728.0,,,,,
2023,Indiana Fever,Regular Season,2,Aliyah Boston,21,40,40,1249.0,233.0,403.0,0.578,4.0,10.0,0.4,229.0,393.0,0.583,108.0,145.0,0.745,125.0,210.0,335.0,89.0,53.0,50.0,75.0,125.0,578.0,1.0,1.0,Indiana Fever,South Carolina,South Carolina
2023,Indiana Fever,Regular Season,3,Erica Wheeler,32,40,40,1071.0,146.0,367.0,0.398,30.0,97.0,0.309,116.0,270.0,0.43,72.0,82.0,0.878,16.0,104.0,120.0,201.0,44.0,3.0,83.0,96.0,394.0,,,,,
2023,Indiana Fever,Regular Season,4,NaLyssa Smith,22,31,28,885.0,188.0,394.0,0.477,19.0,67.0,0.284,169.0,327.0,0.517,84.0,124.0,0.677,64.0,222.0,286.0,44.0,10.0,10.0,84.0,93.0,479.0,,,,,
2023,Indiana Fever,Regular Season,5,Kristy Wallace,27,37,9,728.0,93.0,232.0,0.401,37.0,85.0,0.435,56.0,147.0,0.381,21.0,28.0,0.75,22.0,60.0,82.0,71.0,23.0,9.0,49.0,64.0,244.0,,,,,
2023,Indiana Fever,Regular Season,6,Victoria Vivians,28,38,14,674.0,73.0,192.0,0.38,27.0,94.0,0.287,46.0,98.0,0.469,23.0,30.0,0.767,19.0,100.0,119.0,49.0,27.0,6.0,31.0,72.0,196.0,,,,,
2023,Indiana Fever,Regular Season,7,Lexie Hull,23,30,25,619.0,54.0,145.0,0.372,13.0,60.0,0.217,41.0,85.0,0.482,17.0,22.0,0.773,35.0,47.0,82.0,32.0,30.0,9.0,30.0,84.0,138.0,,,,,
2023,Indiana Fever,Regular Season,8,Grace Berger,24,36,0,524.0,57.0,127.0,0.449,16.0,34.0,0.471,41.0,93.0,0.441,21.0,25.0,0.84,7.0,49.0,56.0,67.0,17.0,6.0,37.0,38.0,151.0,1.0,7.0,Indiana Feverfrom Dallas,Indiana,Indiana
2023,Indiana Fever,Regular Season,9,Emma Cannon,34,30,3,314.0,61.0,134.0,0.455,13.0,34.0,0.382,48.0,100.0,0.48,40.0,44.0,0.909,24.0,70.0,94.0,14.0,4.0,2.0,33.0,42.0,175.0,,,,,
2023,Indiana Fever,Regular Season,10,Maya Caldwell,24,30,1,304.0,21.0,72.0,0.292,4.0,29.0,0.138,17.0,43.0,0.395,12.0,14.0,0.857,9.0,18.0,27.0,19.0,9.0,3.0,22.0,27.0,58.0,,,,,
2023,Indiana Fever,Regular Season,11,Amanda Zahui B.,29,22,0,160.0,12.0,46.0,0.261,3.0,23.0,0.13,9.0,23.0,0.391,6.0,8.0,0.75,5.0,16.0,21.0,7.0,3.0,11.0,10.0,25.0,33.0,,,,,
2023,Indiana Fever,Regular Season,12,Queen Egbo,23,16,0,143.0,18.0,45.0,0.4,0.0,0.0,,18.0,45.0,0.4,11.0,17.0,0.647,16.0,48.0,64.0,2.0,2.0,8.0,11.0,31.0,47.0,,,,,
2023,Indiana Fever,Regular Season,13,Victaria Saxton,23,15,0,54.0,6.0,18.0,0.333,1.0,2.0,0.5,5.0,16.0,0.313,6.0,7.0,0.857,2.0,8.0,10.0,0.0,1.0,0.0,6.0,9.0,19.0,3.0,25.0,Indiana Fever,South Carolina,South Carolina
2023,New York Liberty,Regular Season,1,Breanna Stewart,28,40,40,1365.0,316.0,680.0,0.465,82.0,231.0,0.355,234.0,449.0,0.521,205.0,241.0,0.851,64.0,307.0,371.0,150.0,58.0,63.0,58.0,75.0,919.0,,,,,
2023,New York Liberty,Regular Season,2,Betnijah Laney,29,40,40,1201.0,200.0,401.0,0.499,60.0,153.0,0.392,140.0,248.0,0.565,53.0,67.0,0.791,30.0,100.0,130.0,97.0,34.0,4.0,75.0,86.0,513.0,,,,,
2023,New York Liberty,Regular Season,3,Courtney Vandersloot,34,39,39,1187.0,161.0,364.0,0.442,37.0,126.0,0.294,124.0,238.0,0.521,51.0,67.0,0.761,19.0,117.0,136.0,314.0,51.0,23.0,104.0,78.0,410.0,,,,,
2023,New York Liberty,Regular Season,4,Sabrina Ionescu,25,36,36,1134.0,195.0,461.0,0.423,128.0,286.0,0.448,67.0,175.0,0.383,95.0,109.0,0.872,29.0,171.0,200.0,193.0,37.0,10.0,94.0,61.0,613.0,,,,,
2023,New York Liberty,Regular Season,5,Jonquel Jones,29,40,40,1001.0,176.0,334.0,0.527,32.0,91.0,0.352,144.0,243.0,0.593,69.0,80.0,0.863,103.0,233.0,336.0,73.0,23.0,51.0,83.0,113.0,453.0,,,,,
2023,New York Liberty,Regular Season,6,Kayla Thornton,30,40,0,693.0,65.0,150.0,0.433,25.0,80.0,0.313,40.0,70.0,0.571,23.0,30.0,0.767,48.0,93.0,141.0,27.0,28.0,10.0,20.0,66.0,178.0,,,,,
2023,New York Liberty,Regular Season,7,Marine Johannes,28,35,5,662.0,89.0,215.0,0.414,56.0,152.0,0.368,33.0,63.0,0.524,15.0,20.0,0.75,8.0,42.0,50.0,58.0,23.0,2.0,47.0,55.0,249.0,,,,,
